id_redacao,total_sentencas,sentencas_introducao,sentencas_argumentacao,sentencas_conclusao,media_palavras_sentenca_com_sw,media_palavras_sentenca_sem_sw,total_paragrafos,paragrafos_introducao,paragrafos_argumentacao,paragrafos_conclusao,media_palavras_paragrafo_com_sw,media_palavras_paragrafo_sem_sw,projeto_texto,total_palavras_com_sw,palavras_unicas_com_sw,diversidade_lexical_com_sw,total_palavras_sem_sw,palavras_unicas_sem_sw,diversidade_lexical_sem_sw,n_verbos,n_substantivos,n_adjetivos,n_adverbios,n_preposicoes,n_auxiliares,n_conj_coordenadas,n_determinantes,n_pronomes,n_nomes_proprios,n_pontuacoes,n_conj_subordinadas,profundidade_media_sentencas,profundidade_minima_sentencas,profundidade_maxima_sentencas,diversidade_deps,n_oracoes_subordinadas,n_cc,n_conj,n_mark,n_discourse,n_entidades_total,diversidade_entidades,n_marcadores_exatos,n_marcadores_semanticos,similaridade_sentencas_argumentativas_media,similaridade_sentencas_argumentativas_min,similaridade_sentencas_argumentativas_max,similaridade_sentencas_argumentativas_std,similaridade_redacao_tema,nota_c3
1755,6,1,4,1,47.5,28.17,5,1,3,1,57.0,33.8,2,285,158,0.5544,169,128,0.7574,36,76,30,15,43,13,8,37,20,1,26,7,9.67,6,15,26,19,8,11,9,0,0,0,4,0,0.8113,0.7654,0.8461,0.0415,0.9105,120
1756,14,3,7,4,32.14,17.14,4,1,2,1,112.5,60.0,2,450,224,0.4978,240,174,0.725,54,121,16,22,92,14,17,60,23,21,58,13,7.07,4,10,29,25,17,19,11,0,12,4,16,0,0.7693,0.7091,0.8398,0.0463,0.9364,120
1757,14,3,9,2,25.14,13.0,5,1,3,1,70.4,36.4,1,352,182,0.517,182,141,0.7747,34,93,31,22,69,10,12,48,23,8,37,3,5.79,4,8,29,13,15,13,4,0,3,3,16,0,0.7712,0.7432,0.8204,0.0315,0.9448,80
1758,9,2,4,3,24.56,13.33,4,1,2,1,55.25,30.0,2,221,129,0.5837,120,94,0.7833,45,52,13,13,34,6,4,27,17,0,21,14,8.78,5,13,27,26,6,4,14,0,0,0,2,0,0.8318,0.7863,0.8596,0.0397,0.9398,120
1759,11,2,6,3,17.18,9.09,4,1,2,1,47.25,25.0,2,189,120,0.6349,100,86,0.86,22,51,9,18,26,9,5,27,13,3,19,9,6.0,3,8,23,9,7,8,8,0,2,1,5,0,0.7245,0.5921,0.7893,0.078,0.9537,120
1760,19,7,9,3,20.37,11.47,4,1,2,1,96.75,54.5,2,387,208,0.5375,218,168,0.7706,48,115,34,26,70,6,15,43,11,7,48,12,6.17,4,10,28,23,16,16,12,0,6,3,13,0,0.7324,0.6359,0.838,0.073,0.9437,120
1761,16,5,6,5,18.0,10.0,3,1,1,1,96.0,53.33,2,288,180,0.625,160,135,0.8438,36,68,29,19,50,10,11,40,12,9,31,7,5.31,3,10,29,19,11,12,7,0,5,2,9,0,0.6267,0.4069,0.8041,0.1718,0.9378,120
1762,18,4,9,5,20.83,11.44,4,1,2,1,93.75,51.5,2,375,222,0.592,206,172,0.835,39,93,33,20,55,16,19,46,17,19,44,17,5.39,3,8,31,17,19,20,16,0,8,2,8,0,0.6549,0.5564,0.7853,0.0882,0.9009,120
1763,13,4,5,4,23.62,12.92,4,1,2,1,76.75,42.0,2,307,175,0.57,168,132,0.7857,35,80,31,16,53,9,6,38,18,6,34,16,6.69,4,11,28,17,8,6,16,0,7,4,10,0,0.7272,0.7043,0.7452,0.0179,0.9137,120
1764,8,2,4,2,25.12,13.5,4,1,2,1,50.25,27.0,2,201,124,0.6169,108,89,0.8241,24,55,8,6,37,8,6,25,11,14,32,7,7.5,4,11,32,13,6,8,7,0,10,4,6,0,0.7567,0.7162,0.7923,0.0383,0.9486,120
1765,8,2,3,3,24.75,13.38,4,1,2,1,49.5,26.75,2,198,121,0.6111,107,87,0.8131,20,49,23,19,34,6,9,23,9,4,15,2,6.25,4,10,26,13,9,9,4,0,4,1,4,0,0.7257,0.6507,0.8007,0.1061,0.93,120
1766,13,4,7,2,26.0,14.69,4,1,2,1,84.5,47.75,2,338,214,0.6331,191,169,0.8848,39,92,26,19,71,14,7,40,10,10,43,10,7.33,4,12,29,24,6,7,9,0,6,3,11,0,0.7631,0.68,0.8468,0.0585,0.9423,120
1767,23,6,11,6,15.22,7.83,4,1,2,1,87.5,45.0,2,350,203,0.58,180,157,0.8722,46,84,23,23,42,16,19,51,14,10,37,23,4.87,2,9,31,24,19,15,24,0,6,4,5,0,0.6816,0.5751,0.7555,0.0617,0.9008,120
1768,12,3,6,3,29.92,15.67,4,1,2,1,89.75,47.0,2,359,193,0.5376,188,149,0.7926,31,101,31,10,86,13,11,49,17,4,48,8,7.18,5,10,28,15,11,10,9,0,5,3,8,0,0.7648,0.7426,0.7811,0.016,0.9149,120
1769,11,3,6,2,25.82,14.27,4,1,2,1,71.0,39.25,2,284,166,0.5845,157,126,0.8025,28,89,28,13,67,11,7,29,5,3,30,5,7.18,3,14,26,17,9,7,6,0,2,2,8,0,0.7858,0.7499,0.8185,0.0281,0.9197,120
1770,11,3,5,3,24.73,13.36,4,1,2,1,68.0,36.75,2,272,162,0.5956,147,127,0.8639,23,72,29,15,59,11,12,30,6,13,27,6,6.73,4,9,30,9,13,12,7,0,8,3,5,0,0.7727,0.7207,0.7958,0.0355,0.9315,120
1771,7,2,4,1,35.71,21.86,5,1,3,1,50.0,30.6,2,250,162,0.648,153,131,0.8562,30,52,30,12,40,7,12,26,8,26,32,11,7.67,7,9,28,20,12,10,9,0,12,3,6,0,0.7974,0.7441,0.8377,0.0481,0.9378,120
1772,7,2,4,1,30.86,18.14,5,1,3,1,43.2,25.4,1,216,136,0.6296,127,110,0.8661,26,44,16,20,34,7,5,23,10,20,20,8,5.64,1,11,28,16,5,4,9,0,8,4,5,0,0.7704,0.7386,0.8048,0.0332,0.921,80
1773,12,1,9,2,23.25,12.5,5,1,3,1,55.8,30.0,2,279,151,0.5412,150,114,0.76,34,83,14,12,50,9,15,36,12,0,32,18,5.92,4,8,26,21,16,13,17,0,0,0,12,0,0.6985,0.5983,0.7815,0.0642,0.9219,120
1774,11,3,6,2,22.36,12.82,4,1,2,1,61.5,35.25,2,246,157,0.6382,141,116,0.8227,35,72,18,12,33,13,9,40,9,0,25,7,7.2,3,12,25,19,9,9,8,0,0,0,9,0,0.7379,0.6524,0.8146,0.0784,0.9009,120
1775,8,2,4,2,31.25,18.0,4,1,2,1,62.5,36.0,2,250,170,0.68,144,133,0.9236,32,67,14,14,44,15,11,27,12,11,37,5,6.88,5,13,29,16,11,16,6,0,7,4,8,0,0.75,0.709,0.7953,0.0433,0.9151,120
1776,12,2,6,4,27.08,14.67,4,1,2,1,81.25,44.0,2,325,190,0.5846,176,152,0.8636,30,77,33,14,50,11,21,43,14,26,38,8,6.46,4,9,27,18,21,23,9,0,12,4,7,0,0.711,0.6712,0.756,0.032,0.9387,120
1777,11,4,5,2,18.73,10.55,3,1,1,1,68.67,38.67,2,206,139,0.6748,116,107,0.9224,33,54,8,18,27,6,9,33,9,1,20,9,6.45,3,10,26,16,9,13,6,0,2,2,7,0,0.6642,0.585,0.7786,0.0818,0.8983,120
1778,5,2,2,1,57.4,31.2,4,1,2,1,71.75,39.0,2,287,170,0.5923,156,136,0.8718,31,80,24,17,54,11,11,34,10,1,19,14,8.67,3,12,26,24,12,11,14,0,1,1,7,0,0.8513,0.8513,0.8513,0.0,0.8908,120
1779,10,3,4,3,22.9,12.8,3,1,1,1,76.33,42.67,2,229,160,0.6987,128,116,0.9062,38,47,18,24,25,9,11,26,12,7,34,14,7.4,4,12,26,23,11,11,14,0,3,1,9,0,0.7078,0.6684,0.7474,0.0395,0.9089,120
1780,15,5,5,5,15.13,8.93,4,1,2,1,56.75,33.5,2,227,153,0.674,134,120,0.8955,36,55,20,12,39,11,4,22,12,10,22,6,5.6,3,10,28,20,4,4,7,0,7,3,5,0,0.6082,0.602,0.6152,0.0061,0.9389,120
1781,8,3,3,2,44.5,23.62,4,1,2,1,89.0,47.25,2,356,182,0.5112,189,145,0.7672,41,80,31,23,58,19,15,40,19,16,37,17,8.0,6,12,31,19,16,17,16,0,11,4,21,0,0.8382,0.8081,0.8683,0.0426,0.9186,120
1782,10,2,6,2,25.0,13.3,4,1,2,1,62.5,33.25,2,250,141,0.564,133,107,0.8045,38,61,10,18,39,8,9,42,10,6,33,14,6.55,4,12,26,25,9,9,19,0,3,3,6,0,0.7561,0.693,0.7835,0.0361,0.9247,120
1783,17,2,12,3,24.53,13.71,5,1,3,1,83.4,46.6,2,417,221,0.53,233,172,0.7382,59,117,35,12,72,18,12,53,7,10,45,23,6.33,3,10,30,31,12,14,21,0,8,3,14,0,0.7248,0.6169,0.8365,0.0712,0.935,120
1784,4,1,2,1,62.25,32.75,3,1,1,1,83.0,43.67,2,249,145,0.5823,131,100,0.7634,36,54,13,17,29,15,9,40,19,4,19,14,9.5,7,12,28,26,9,10,12,0,7,2,14,0,0.8095,0.8095,0.8095,0.0,0.9103,120
1785,7,2,3,2,29.86,17.0,4,1,2,1,52.25,29.75,2,209,128,0.6124,119,96,0.8067,17,56,17,16,39,10,10,23,9,8,29,5,7.0,3,12,26,12,10,10,5,0,4,1,5,0,0.7988,0.7725,0.8252,0.0373,0.916,120
1786,12,2,6,4,23.42,13.42,4,1,2,1,70.25,40.25,2,281,168,0.5979,161,132,0.8199,31,89,27,12,66,1,10,32,7,2,26,6,6.83,4,10,25,18,10,13,4,0,1,1,5,0,0.7207,0.6023,0.8294,0.0855,0.9341,120
1787,9,2,6,1,32.78,16.56,5,1,3,1,59.0,29.8,2,295,169,0.5729,149,124,0.8322,43,74,16,16,48,16,12,33,16,1,41,16,6.56,5,11,24,36,12,14,16,0,1,1,8,0,0.7413,0.68,0.8429,0.0614,0.8494,120
1788,4,1,2,1,36.25,21.25,3,1,1,1,48.33,28.33,2,145,104,0.7172,85,74,0.8706,17,41,15,5,29,9,1,14,10,1,12,3,9.75,5,13,23,10,1,2,4,0,1,1,4,0,0.8391,0.8391,0.8391,0.0,0.9037,120
1789,19,3,12,4,14.16,8.0,4,1,2,1,67.25,38.0,2,269,156,0.5799,152,120,0.7895,33,68,19,14,50,13,10,34,7,14,33,10,5.59,3,10,30,18,11,10,7,0,6,3,10,0,0.5984,0.3866,0.7489,0.1144,0.9472,120
1790,10,3,5,2,18.1,9.9,4,1,2,1,45.25,24.75,2,181,129,0.7127,99,92,0.9293,25,48,10,17,26,7,12,20,9,2,22,7,5.7,3,8,29,14,12,11,7,0,2,1,5,0,0.6256,0.5676,0.6933,0.0531,0.912,120
1791,10,4,4,2,27.6,16.0,4,1,2,1,69.0,40.0,2,276,178,0.6449,160,138,0.8625,30,81,26,17,55,8,12,26,15,3,26,4,7.4,5,10,31,17,14,16,5,0,1,1,11,0,0.8247,0.8036,0.8642,0.0342,0.9153,120
1792,6,1,4,1,37.83,21.17,4,1,2,1,56.75,31.75,2,227,152,0.6696,127,113,0.8898,24,58,18,21,40,6,8,30,6,9,35,9,8.17,5,13,30,13,7,5,10,0,6,3,11,0,0.785,0.7667,0.7943,0.0159,0.9182,120
1793,8,2,5,1,37.38,21.75,5,1,3,1,59.8,34.8,2,299,188,0.6288,174,147,0.8448,39,85,31,16,55,5,7,34,8,12,36,8,8.11,5,12,27,26,7,15,8,0,6,3,5,0,0.7621,0.7032,0.8425,0.0584,0.9301,120
1794,7,1,3,3,35.57,20.0,4,1,2,1,62.25,35.0,2,249,141,0.5663,140,106,0.7571,36,69,12,15,42,7,8,32,11,4,32,13,8.71,6,13,26,22,10,14,12,0,3,1,8,0,0.8074,0.7739,0.841,0.0475,0.8951,120
1795,11,3,6,2,24.64,14.45,4,1,2,1,67.75,39.75,2,271,151,0.5572,159,115,0.7233,47,67,26,10,44,4,11,32,11,15,23,10,6.67,4,10,28,24,11,13,12,0,15,3,3,0,0.7473,0.6844,0.8183,0.0591,0.9337,120
1796,17,3,9,5,20.06,11.65,4,1,2,1,85.25,49.5,2,341,214,0.6276,198,173,0.8737,48,86,17,15,57,11,13,51,11,26,44,10,5.81,4,10,29,25,13,14,13,0,13,4,5,0,0.6933,0.6319,0.8177,0.0637,0.9397,120
1797,13,3,5,5,28.31,16.0,4,1,2,1,92.0,52.0,2,368,199,0.5408,208,158,0.7596,46,107,27,18,70,11,15,38,11,21,32,13,7.38,4,10,31,32,15,15,13,0,12,4,8,0,0.7865,0.7225,0.8711,0.0634,0.8933,120
1798,8,2,4,2,25.5,13.62,4,1,2,1,51.0,27.25,2,204,124,0.6078,109,90,0.8257,21,60,10,7,41,7,11,27,5,12,21,7,5.5,1,8,28,10,10,14,9,0,10,4,2,0,0.7192,0.6571,0.7931,0.0687,0.9194,120
1799,16,3,7,6,21.75,12.75,4,1,2,1,87.0,51.0,2,348,215,0.6178,204,171,0.8382,53,92,18,26,55,16,8,50,14,9,56,10,6.24,4,9,31,33,11,9,10,0,7,4,15,0,0.6673,0.5965,0.7971,0.0681,0.9404,120
1800,14,5,4,5,28.0,15.5,3,1,1,1,130.67,72.33,2,392,194,0.4949,217,148,0.682,54,105,21,31,62,19,23,36,24,5,52,12,6.13,1,14,30,24,24,27,12,0,3,2,14,0,0.7859,0.7231,0.8272,0.0553,0.9289,120
1801,16,4,9,3,22.31,12.88,4,1,2,1,89.25,51.5,2,357,227,0.6359,206,175,0.8495,43,100,33,19,63,11,5,39,14,15,38,18,6.41,2,11,30,28,6,5,16,0,11,4,10,0,0.7307,0.6833,0.7765,0.0357,0.929,120
1802,13,3,5,5,20.38,10.31,4,1,2,1,66.25,33.5,2,265,140,0.5283,134,94,0.7015,36,64,17,13,40,15,10,39,23,0,33,9,6.23,4,9,27,13,11,12,9,0,0,0,6,0,0.7777,0.7027,0.8226,0.0539,0.957,120
1803,13,3,9,1,24.77,14.69,5,1,3,1,64.4,38.2,2,322,197,0.6118,191,160,0.8377,44,78,26,18,50,7,12,39,18,21,40,9,7.0,4,12,29,22,12,16,10,0,13,4,9,0,0.7259,0.6173,0.801,0.061,0.9311,120
1804,10,2,5,3,32.6,19.1,4,1,2,1,81.5,47.75,2,326,206,0.6319,191,166,0.8691,35,102,29,9,63,7,15,45,9,10,28,7,7.09,3,12,26,20,15,16,5,0,5,3,5,0,0.7056,0.6705,0.7766,0.0486,0.9174,120
1805,12,3,4,5,19.83,11.75,4,1,2,1,59.5,35.25,2,238,157,0.6597,141,126,0.8936,30,71,14,5,43,9,6,33,7,12,36,10,6.92,4,12,30,15,5,7,13,0,7,4,5,0,0.7209,0.6916,0.7539,0.0313,0.9503,120
1806,7,2,4,1,41.0,22.71,4,1,2,1,71.75,39.75,2,287,182,0.6341,159,139,0.8742,37,77,24,12,40,12,24,31,13,9,35,10,9.83,8,13,25,22,23,28,10,0,4,2,8,0,0.7751,0.7243,0.8183,0.0475,0.9038,120
1807,7,2,3,2,42.86,23.43,4,1,2,1,75.0,41.0,2,300,178,0.5933,164,138,0.8415,46,75,14,8,47,8,11,48,15,15,34,13,8.43,6,13,27,29,12,13,13,0,8,4,10,0,0.7589,0.7302,0.7876,0.0406,0.907,120
1808,11,4,4,3,22.18,12.45,3,1,1,1,81.33,45.67,2,244,163,0.668,137,127,0.927,31,67,23,11,45,11,9,26,8,3,28,12,7.18,5,10,30,20,9,8,11,0,2,1,7,0,0.7746,0.7731,0.7776,0.0026,0.9525,120
1809,10,2,5,3,21.6,12.9,4,1,2,1,54.0,32.25,2,216,151,0.6991,129,113,0.876,28,49,23,16,27,11,5,31,11,7,35,9,5.9,4,13,30,17,7,7,8,0,3,1,11,0,0.6906,0.6036,0.7614,0.0678,0.9153,120
1810,10,3,4,3,22.8,13.2,4,1,2,1,57.0,33.0,2,228,142,0.6228,132,107,0.8106,40,71,13,8,39,3,9,33,7,2,25,8,6.8,5,10,26,26,10,9,8,0,2,2,4,0,0.767,0.7143,0.7951,0.0457,0.9096,120
1811,10,2,6,2,23.7,12.8,4,1,2,1,59.25,32.0,2,237,145,0.6118,128,108,0.8438,27,66,16,14,38,12,9,29,10,5,20,13,6.6,5,9,29,16,9,13,15,0,2,1,3,0,0.7468,0.6878,0.838,0.062,0.9222,120
1812,13,3,7,3,18.54,10.77,4,1,2,1,60.25,35.0,2,241,172,0.7137,140,131,0.9357,23,65,18,22,40,12,6,31,5,11,37,10,5.21,3,8,27,15,6,8,8,0,6,3,10,0,0.6819,0.6183,0.8272,0.0796,0.9257,120
1813,7,2,3,2,32.71,16.71,4,1,2,1,57.25,29.25,2,229,147,0.6419,117,104,0.8889,18,68,10,12,48,12,13,24,13,4,31,6,6.71,5,9,27,7,13,11,4,0,5,2,5,0,0.658,0.6483,0.6678,0.0138,0.9263,120
1814,11,3,6,2,25.09,14.82,5,1,3,1,55.2,32.6,2,276,164,0.5942,163,127,0.7791,43,70,24,17,45,7,10,33,12,1,35,13,6.73,5,9,26,28,10,10,16,0,2,1,6,0,0.7609,0.6934,0.8034,0.0427,0.9188,120
1815,12,4,5,3,23.5,12.83,4,1,2,1,70.5,38.5,2,282,161,0.5709,154,120,0.7792,33,68,25,20,50,12,10,29,9,13,36,13,6.17,4,11,29,17,12,9,12,0,7,2,11,0,0.7693,0.7018,0.8248,0.0529,0.9196,120
1816,14,3,8,3,16.07,10.07,4,1,2,1,56.25,35.25,2,225,161,0.7156,141,126,0.8936,31,58,26,17,48,5,8,19,9,6,35,1,5.79,4,9,28,17,9,7,2,0,4,3,9,0,0.5581,0.4357,0.6383,0.0646,0.9356,120
1817,13,2,9,2,22.31,12.62,5,1,3,1,58.0,32.8,2,290,166,0.5724,164,129,0.7866,40,75,17,9,48,7,9,45,15,14,30,12,6.85,4,11,27,19,10,11,12,0,8,3,4,0,0.7573,0.6439,0.8653,0.0604,0.9563,120
1818,5,1,3,1,44.6,24.8,4,1,2,1,55.75,31.0,2,223,149,0.6682,124,112,0.9032,33,57,17,12,33,9,4,30,10,6,21,13,7.8,6,10,30,20,4,7,13,0,2,2,6,0,0.8015,0.799,0.8041,0.0036,0.93,120
1819,12,2,7,3,20.17,10.83,4,1,2,1,60.5,32.5,2,242,151,0.624,130,115,0.8846,20,67,18,9,41,15,15,27,10,12,28,7,5.29,1,8,29,10,15,17,7,0,8,3,5,0,0.677,0.5872,0.7467,0.0518,0.9485,120
1820,19,4,11,4,17.53,9.05,4,1,2,1,83.25,43.0,2,333,193,0.5796,172,144,0.8372,47,73,29,26,40,14,14,39,22,6,29,24,5.32,2,8,29,28,14,15,23,0,4,3,9,0,0.6309,0.4092,0.7103,0.0916,0.8949,120
1821,7,1,4,2,41.57,22.14,4,1,2,1,72.75,38.75,2,291,159,0.5464,155,119,0.7677,32,84,24,11,58,10,7,30,14,2,23,19,8.12,6,14,28,17,7,9,17,0,2,1,4,0,0.8394,0.8379,0.8418,0.0021,0.9139,120
1822,8,2,4,2,23.88,13.88,4,1,2,1,47.75,27.75,2,191,125,0.6545,111,97,0.8739,18,60,17,10,39,4,9,20,5,4,19,6,7.5,5,9,26,8,9,12,6,0,2,1,3,0,0.7867,0.7283,0.8371,0.0548,0.9216,120
1823,17,3,9,5,24.47,13.29,4,1,2,1,104.0,56.5,2,416,222,0.5337,226,177,0.7832,41,117,46,18,77,7,14,68,16,5,42,9,6.59,5,12,25,18,16,16,10,0,6,2,9,0,0.6987,0.6461,0.7461,0.0354,0.9342,120
1824,7,2,3,2,36.14,19.57,4,1,2,1,63.25,34.25,2,253,147,0.581,137,110,0.8029,22,80,21,7,44,8,12,42,7,1,21,11,6.86,5,10,27,14,12,14,10,0,3,1,6,0,0.7623,0.6991,0.8256,0.0895,0.9316,120
1825,9,1,6,2,41.78,22.67,5,1,3,1,75.2,40.8,2,376,209,0.5559,204,164,0.8039,49,102,29,31,50,7,17,49,19,5,44,16,7.78,6,12,27,27,17,21,17,0,7,1,7,0,0.8216,0.7716,0.8949,0.0542,0.935,120
1826,5,1,3,1,42.6,22.2,5,1,3,1,42.6,22.2,2,213,126,0.5915,111,92,0.8288,28,53,14,12,29,9,17,27,8,5,22,9,8.4,7,10,26,13,19,17,8,0,4,2,12,0,0.7329,0.7283,0.7375,0.0065,0.9046,120
1827,12,5,5,2,42.58,25.83,4,1,2,1,127.75,77.5,2,511,290,0.5675,310,245,0.7903,66,133,42,28,89,8,27,52,26,26,43,17,9.5,5,15,28,39,28,29,19,0,15,3,10,0,0.7459,0.6858,0.7929,0.0445,0.9253,120
1828,5,2,2,1,56.0,30.0,4,1,2,1,70.0,37.5,2,280,169,0.6036,150,132,0.88,34,73,13,23,48,8,15,38,15,4,21,8,10.4,7,14,27,17,16,17,10,0,3,2,15,0,0.8208,0.8208,0.8208,0.0,0.9325,120
1829,5,2,2,1,88.6,49.0,3,1,1,1,147.67,81.67,1,443,235,0.5305,245,189,0.7714,54,107,42,42,66,16,17,47,18,12,22,22,10.33,4,22,30,39,18,24,26,0,11,3,12,0,0.811,0.811,0.811,0.0,0.8973,80
1830,12,2,5,5,27.08,15.0,4,1,2,1,81.25,45.0,2,325,192,0.5908,180,153,0.85,40,85,23,23,60,6,16,35,21,10,31,9,7.42,4,11,28,23,19,19,13,0,6,3,15,0,0.7997,0.7309,0.8306,0.0467,0.9203,120
1831,14,3,8,3,19.07,11.64,4,1,2,1,66.75,40.75,2,267,171,0.6404,163,131,0.8037,33,89,22,16,53,8,6,30,4,0,43,9,6.21,4,10,26,21,8,13,8,0,0,0,8,0,0.6709,0.5799,0.8203,0.095,0.929,120
1832,11,2,5,4,29.91,16.82,4,1,2,1,82.25,46.25,2,329,181,0.5502,185,147,0.7946,32,97,29,11,71,6,13,40,15,9,40,8,7.0,5,8,27,15,17,18,8,0,6,3,7,0,0.7949,0.7574,0.8458,0.0407,0.9413,120
1833,9,3,5,1,28.0,14.89,4,1,2,1,63.0,33.5,2,252,157,0.623,134,122,0.9104,27,79,22,9,47,5,9,36,3,4,25,12,6.78,4,11,26,17,9,8,14,0,2,2,7,0,0.7659,0.7367,0.7951,0.0272,0.9611,120
1834,12,2,6,4,25.33,14.58,4,1,2,1,76.0,43.75,2,304,177,0.5822,175,138,0.7886,29,79,32,14,44,8,10,45,13,19,43,11,6.33,4,9,26,15,12,6,11,0,9,3,13,0,0.7494,0.7021,0.8307,0.0492,0.9384,120
1835,13,3,5,5,18.0,10.0,3,1,1,1,78.0,43.33,2,234,150,0.641,130,117,0.9,23,74,16,8,48,7,13,27,4,8,22,5,5.62,4,7,26,11,13,15,4,0,4,2,1,0,0.7344,0.6211,0.8569,0.1158,0.9364,120
1836,11,4,5,2,29.09,16.91,4,1,2,1,80.0,46.5,2,320,199,0.6219,186,164,0.8817,32,86,29,18,65,3,8,38,6,28,40,11,6.15,1,10,24,16,8,9,10,0,18,4,5,0,0.7328,0.6791,0.7889,0.0503,0.8917,120
1837,12,2,6,4,31.92,18.33,4,1,2,1,95.75,55.0,2,383,217,0.5666,220,172,0.7818,52,103,38,22,65,19,16,43,8,12,37,6,7.58,5,13,28,29,16,25,6,0,9,3,13,0,0.7628,0.6825,0.8791,0.0777,0.9413,120
1838,6,1,3,2,56.5,32.0,4,1,2,1,84.75,48.0,2,339,202,0.5959,192,160,0.8333,41,90,21,14,67,9,12,40,31,12,28,5,10.0,7,12,25,15,13,11,7,0,6,2,8,0,0.8378,0.8185,0.8572,0.0274,0.9205,120
1839,13,3,7,3,17.08,9.54,4,1,2,1,55.5,31.0,2,222,142,0.6396,124,109,0.879,33,53,21,11,39,10,6,28,10,3,32,9,5.69,4,8,28,23,6,4,10,0,3,1,8,0,0.6741,0.5771,0.734,0.0584,0.9289,120
1840,6,1,3,2,38.83,20.83,5,1,3,1,46.6,25.0,2,233,135,0.5794,125,98,0.784,28,64,17,11,41,9,7,36,10,1,15,9,8.8,6,13,25,17,8,8,9,0,1,1,5,0,0.834,0.7932,0.8747,0.0577,0.9143,120
1841,9,2,6,1,23.44,12.78,5,1,3,1,42.2,23.0,2,211,135,0.6398,115,99,0.8609,24,57,25,9,25,9,12,35,11,2,31,3,5.89,4,8,25,12,13,21,3,0,2,1,3,0,0.7486,0.6644,0.8124,0.0566,0.9136,120
1842,7,2,3,2,37.71,20.86,4,1,2,1,66.0,36.5,2,264,163,0.6174,146,128,0.8767,33,65,29,15,39,9,10,36,13,7,28,11,8.0,4,11,27,18,10,11,12,0,4,2,9,0,0.7369,0.6296,0.8442,0.1518,0.8788,120
1843,4,1,2,1,86.5,47.0,4,1,2,1,86.5,47.0,2,346,196,0.5665,188,154,0.8191,68,79,28,20,42,15,14,38,26,3,53,13,9.5,7,13,28,39,14,23,14,0,1,1,7,0,0.8878,0.8878,0.8878,0.0,0.8928,120
1844,8,2,3,3,25.25,14.62,5,1,3,1,40.4,23.4,2,202,127,0.6287,117,99,0.8462,33,48,24,14,28,6,10,19,12,3,15,6,6.86,5,12,24,22,10,10,9,0,2,1,9,0,0.8039,0.7871,0.8208,0.0238,0.9107,120
1845,10,2,4,4,27.2,14.9,4,1,2,1,68.0,37.25,2,272,170,0.625,149,132,0.8859,30,77,24,13,42,8,13,35,13,5,22,11,6.64,1,12,26,18,13,14,12,0,3,2,7,0,0.7741,0.7227,0.8064,0.045,0.8989,120
1846,6,2,3,1,43.17,25.5,4,1,2,1,64.75,38.25,2,259,165,0.6371,153,123,0.8039,31,62,25,26,35,19,13,30,7,3,29,9,8.17,6,12,24,20,14,16,10,0,2,1,9,0,0.8589,0.8464,0.8715,0.0178,0.8973,120
1847,9,1,5,3,47.89,24.44,4,1,2,1,107.75,55.0,2,431,218,0.5058,220,168,0.7636,62,101,22,27,68,18,31,51,23,5,14,22,8.0,2,14,32,35,31,33,20,0,2,2,10,0,0.7906,0.7613,0.8172,0.0281,0.8389,120
1848,18,3,10,5,17.61,9.89,4,1,2,1,79.25,44.5,2,317,169,0.5331,178,130,0.7303,50,79,10,18,50,20,13,44,13,10,48,13,5.67,4,8,28,28,13,14,13,0,6,4,10,0,0.7031,0.5779,0.7877,0.0822,0.932,120
1849,12,3,8,1,25.17,14.0,4,1,2,1,75.5,42.0,2,302,157,0.5199,168,119,0.7083,46,93,16,20,53,12,8,34,10,0,33,14,6.5,4,13,27,28,10,11,12,0,0,0,5,0,0.7677,0.7094,0.8261,0.0393,0.9185,120
1850,7,2,3,2,23.43,12.86,3,1,1,1,54.67,30.0,2,164,106,0.6463,90,79,0.8778,25,39,8,14,27,6,7,16,9,8,20,6,6.57,4,10,28,15,7,10,7,0,4,2,6,0,0.6319,0.5742,0.6896,0.0815,0.9181,120
1851,11,2,6,3,23.0,12.91,4,1,2,1,63.25,35.5,2,253,160,0.6324,142,119,0.838,19,76,26,21,57,10,14,21,4,5,32,2,6.25,4,10,27,11,14,14,3,0,5,2,7,0,0.7478,0.6833,0.8027,0.047,0.9575,120
1852,9,2,5,2,37.44,21.56,4,1,2,1,84.25,48.5,2,337,211,0.6261,194,168,0.866,44,91,30,16,68,14,5,29,13,15,40,13,8.89,6,15,29,29,7,11,14,0,11,4,10,0,0.7854,0.7398,0.8148,0.0328,0.9207,120
1853,12,4,6,2,24.58,13.92,5,1,3,1,59.0,33.4,2,295,178,0.6034,167,144,0.8623,33,85,24,21,46,12,14,41,8,2,39,10,6.25,4,12,25,19,15,16,10,0,3,1,13,0,0.7642,0.7381,0.8008,0.0252,0.9262,120
1854,10,2,4,4,29.8,15.1,4,1,2,1,74.5,37.75,2,298,181,0.6074,151,137,0.9073,38,75,21,19,55,12,9,35,17,9,28,12,7.7,5,12,29,21,10,14,12,0,6,3,6,0,0.7683,0.7185,0.8277,0.0552,0.9326,120
